W,M,POS,P,S
Deal with,Ile başa çıkmak,,,
Fashionable,"Moda, modaya uygun",,,
Mock,"Dalga geçmek, dalga, taklit",,,
Offend,"Küstürmek, gücendirmek, rencide etmek, suç işlemek",,,"Hurt,irritate, Upset"
Gesture,"Işaret etmek, jest yapmak",,,"Sign, motion, action"
Trouble,"Dert, zahmet, sorun",,,
Awkward,"Beceriksiz, zorluk çıkaran, rahatsız, garip",,,
Ambush,Pusu kurmak,,,"Trap, surprise attack"
Endure,"Dayanmak, tahammül etmek",,,
Evidently,"Açık olarak, belli ki, besbelli",,,"Obviously, clearly, apparently"
Deserve,"Hak etmek, layık olmak",,,Be worthy of
Masquerading,"Yapmacık, maskeli, sahte tavır takınmak",,,"Pretending,disguising"
Snob,Kendini beğenmiş,,,Show-off
Presume,"Varsaymak, tahmin etmek",,,"Guess, assume, suppose"
Deport,Sınır dışı etmek,,,Kick out
Authentic,"Orjinal, gerçek",,,
Gritty,"Gerçekçi, acımasız, azimli, kararlı",,,Determined
Attention,"Dikkat, ilgi, dikkat çekmek",,,"Focus, Concentration, notice, Consideration"
Get over,"Iyileşmek, atlatmak",,,
I figured that,Şunu düşündüm,,,I thought
Gross,"Çirkin, nezaketsiz, tiksindirici",,,"Rude, disgusting"
Accessory,Aksesuar,,,
Demote,Rütbe indirmek,,,
Regardless of sth,"-e rağmen, -den bağımsız olarak",,,
Regard,"Gibi, saymak, ilgilendirmek",,,
Moan,Şikayet etmek,,,Complain
Intense,"Şiddetli, yoğun, gergin, istekli",,,
Morbid,"Sapkın, hastalıklı, Psikopat",,,"Gloomy,grim"
Conscience,Vicdan,,,"Ethics, Moral sense"
Reveal,"Ifşa etmek, kendini göstermek, ortaya çıkarmak",,,
Concrete,"Somutlaştırmak, beton, katılaşmak",,,
Rest of,Geri kalan,,,"Remaining,leftover"
Filthy,"Pis, kirli",,,
Sake of,"Uğruna, amacıyla",,,For the purpose of
Insatiable,"Doyumsuz, açgözlü",,,Greedy
Trace,"Iz, iz sürmek",,,
Stance,"Duruş, bakış açısı, tutum",,,"Attitude, viewpoint"
Inspect,"Incelemek, denetlemek, teftiş etmek",,,
Somehow,"Bir şekilde, iyi kötü",,,
Kneel,Diz çökmek,,,
Surrounding,"Çevre, kuşatma",,,
Swarm,"Sürü, yığın, akın etmek, dolup taşmak",,,"Crowd, cluster, flock, stack"
Swirling,"Döne döne gitmek, fırıl fırıl dönmek",,,"Twisting, spiralling, spinning"
Ominous,Uğursuz,,,
Slave,Köle,,,
Behold,"Görmek, farketmek, gözlemlemek",,,"Observe, see, watch"
Creepy,"Tuhaf, Ürpertici",,,Weird
Slumber,"Uyku, uyuklama",,,"Sleep, rest, nap"
Radiate,"Yaymak, saçmak",,,"Emit,Shine"
You are up to,Bir şeyi başarmaya yeterli kapasitede olmak,,,"Able to handle, Capable of, what are you doing"
Pulsating,"Titreşen, atan, canlı, heyecan verici",,,"Vibrating, beating, throbbing"
Beating heart,Atan kalp,,,
It sent a shiver down my spine,Tüylerimi diken diken etti,,,
Unnerving,Sinir bozucu,,,"Annoying, disturbing"
Loyal,"Sadık, vefalı",,,"faithful, devoted"
You won't get away with this,Bunu senin yanına bırakmayacağım,,,
Destruction,"Yıkım, tahribat",,,
Gathering,Toplanma,,,
Wager,Bahis,,,Bet
Compete,"Yarışmak, Rekabet etmek",,,
Detest,"Nefret etmek, iğrenmek",,,"Hate, loathe, despise"
Blend,"Uyum sağlamak, kaynaşmak, karıştırmak",,,
Get your groove back,Eski formuna kavuş,,,
I blew it,"Fırsatı kaçırdım, berbat ettim",,,
Shot,"Denemek, girişmek, atış, aşı",,,"Attempt, try, vaccine"
Choke,"Boğulmak, nefesi kesilmek",,,Stop breathing
Bribe,Rüşvet vermek,,,Persuade illegally
Horrendous,Korkunç,,,Terrible
Somewhat,Biraz,,,A bit
Folk,Halk,,,
Fishing rod,Olta,,,
Unwind,"Dinlenmek, rahatlamak",,,Relax
Affordable,"Ekonomik, makul, alınabilir",,,
Stuff,"Şey, Tıkmak, tıkınmak",,,Thing
Take it easy,"Kendine iyi bak, Sakin ol",,,"Take care yourself, Calm down"
Construction,"Bina, Yapı, Inşaat",,,Building
Perturbed,"Tedirgin, kaygılı",,,"Worried, troubled"
Mildly,"Kibarca, hafifçe",,,
Bulletin,Bülten,,,Newspaper
Treasure,"Hazine, çok değerli saymak",,,"Valuable object, wealth"
Hay,Saman,,,
Come across,"Rastlamak, Karşılaşmak",,,
Remarkable,Dikkate değer,,,"Extraordinary,impressive"
Transition,"Değişme, geçiş",,,
Artifact,Eser,,,
Blacksmith,Demirci,,,
Rickety,Çürük,,,
Complain,Şikayet etmek,,,
Cottage,"Dağ evi, kır evi, kulübe",,,
Spark,"Başlatma, alevlendirme, kıvılcım, belirti",,,
Alter,Değiştirmek,,,Change
Buzz off,"Defol, kaybol",,,Get out
Pick,Seçmek,,,Select
Pale,Solgun,,,Colorless
Agriculture,"Tarım, ziraat",,,
Swing,"Sallanmak, sallamak, ani değişim, Yön değiştirme",,,
Ranch,Çiftlik,,,Farm
Livestock,Hayvancılık,,,
Shame,"Utanma, Utandırma, ayıp",,,
Cultivate,"Yetiştirmek, geliştirmek",,,
